metric,STEP08E_monthly_authentic,STEP08F_eventtime_distilled,F_minus_E
delta_cagr_pp,0.4762543481020564,0.632483044008012,0.15622869590595562
delta_maxdd_pp,0.415965243656057,0.0505025306654189,-0.36546271299063815
delta_p10_pp,0.1798099290418093,-0.8650127738078197,-1.044822702849629
delta_p5_pp,-0.3407015423221011,-1.9744858583396407,-1.6337843160175396
delta_worst_decile_pp,-0.5258831517225602,-1.3542477117865843,-0.8283645600640241
delta_worst_pp,0.6048069771262163,0.6048069771262163,0.0
delta_sharpe,0.0143951535859995,0.0164518486483078,0.0020566950623083016
delta_calmar,0.0376634544082813,0.0421036958442238,0.004440241435942502
