scenario,family,variant,daily_observations,signal_dates,available_tickers,inference_dropped_tickers,cagr_mean,cagr_median,cagr_p10,maxdd_mean,maxdd_p10,sharpe_mean,concentrated_100pct_rate,score_keys_identical,max_abs_score_delta,monthly_score_rank_correlation,unrestricted_top1_agreement,basket_top1_agreement,basket_top2_ordered_agreement,basket_top2_set_agreement,concentration_regime_agreement,decision_count,cagr_delta_vs_baseline_pp,maxdd_delta_vs_baseline_pp,sharpe_delta_vs_baseline,fraction_baskets_beating_baseline,elapsed_seconds
LIVE_MISSING_10PCT_R2,ticker_live,BASELINE_21,2366,113,133,15,0.1651931872676326,0.1645061541315998,0.0557392760587261,-0.4281040376020721,-0.6230791994339601,0.6909572591229137,0.0870796460176991,False,0.0,1.0,0.8761061946902655,0.9071504424778761,0.8255221238938053,0.8255221238938053,0.9687610619469027,56500,0.0,0.0,0.0,0.0,107.3855562210083
LIVE_MISSING_10PCT_R2,ticker_live,MULTI_45_35_20,2366,113,133,15,0.1910148673120801,0.1849822407092226,0.103059812477188,-0.3820113574343436,-0.5063538255990014,0.7786011869231884,0.1031858407079646,False,0.0,1.0,0.9380530973451328,0.9138230088495575,0.8218407079646017,0.8218407079646017,0.9669203539823009,56500,2.5821680044447515,4.60926801677285,0.0876439278002746,0.654,107.3855562210083
LIVE_MISSING_10PCT_R2,ticker_live,CONSENSUS_MULTI,2366,113,133,15,0.2016508374885605,0.2014394471817181,0.1083500974399854,-0.3539241311133658,-0.4545921041416852,0.8287732412234443,0.1252035398230088,False,0.0,1.0,0.9380530973451328,0.9007610619469026,0.7945309734513274,0.7945309734513274,0.9629557522123894,56500,3.645765022092786,7.417990648870631,0.1378159821005306,0.714,107.3855562210083
