policy,year,delta_cagr_pp,delta_maxdd_pp,delta_p10_pp,delta_p5_pp,delta_worst_decile_pp,delta_worst_pp,delta_sharpe,delta_calmar
TIT_R_TOP1,2021,-2.589899279581548,-0.7721825415967771,-0.7164312419548118,-0.460005977144025,-0.4795584319950166,-3.7508555716212797,-0.09962979497595459,-0.21940385902262638
TIT_R_TOP1,2022,3.062842499399352,1.0700203042042098,1.6744344027395925,1.4924818163272278,1.7124778304704549,6.634598410445797,0.08157935115221804,0.14683740907112064
TIT_R_V2_BALANCED,2021,-2.22603681231249,-0.6850977036210928,-0.6255234214115681,-0.009058848987194779,-0.3587961293839719,-4.10784161251263,-0.07845017067004867,-0.190670117631502
TIT_R_V2_BALANCED,2022,2.4980967537968723,0.9843658634658397,1.6306975674363926,1.7469533054407478,1.8518068200459439,6.634598410445797,0.06638396093486276,0.11402018060325203
