scenario,variant,cutoff,next_cutoff,train_dates,train_rows,train_tickers,dropped_train_tickers,test_dates,test_rows
ROLLING_5Y,CONSENSUS_MULTI,2017-01-01,2018-01-01,56,8068,148,0,12,1776
ROLLING_5Y,CONSENSUS_MULTI,2018-01-01,2019-01-01,56,8190,148,0,12,1776
ROLLING_5Y,CONSENSUS_MULTI,2019-01-01,2020-01-01,56,8261,148,0,12,1776
ROLLING_5Y,CONSENSUS_MULTI,2020-01-01,2021-01-01,57,8436,148,0,12,1776
ROLLING_5Y,CONSENSUS_MULTI,2021-01-01,2022-01-01,57,8436,148,0,12,1776
ROLLING_5Y,CONSENSUS_MULTI,2022-01-01,2023-01-01,57,8436,148,0,12,1776
ROLLING_5Y,CONSENSUS_MULTI,2023-01-01,2024-01-01,56,8288,148,0,12,1776
ROLLING_5Y,CONSENSUS_MULTI,2024-01-01,2025-01-01,56,8288,148,0,12,1776
ROLLING_5Y,CONSENSUS_MULTI,2025-01-01,2026-01-01,57,8436,148,0,12,1776
ROLLING_5Y,CONSENSUS_MULTI,2026-01-01,2027-01-01,57,8436,148,0,5,740
ROLLING_5Y,MULTI_45_35_20,2017-01-01,2018-01-01,56,8068,148,0,12,1776
ROLLING_5Y,MULTI_45_35_20,2018-01-01,2019-01-01,56,8190,148,0,12,1776
ROLLING_5Y,MULTI_45_35_20,2019-01-01,2020-01-01,56,8261,148,0,12,1776
ROLLING_5Y,MULTI_45_35_20,2020-01-01,2021-01-01,57,8436,148,0,12,1776
ROLLING_5Y,MULTI_45_35_20,2021-01-01,2022-01-01,57,8436,148,0,12,1776
ROLLING_5Y,MULTI_45_35_20,2022-01-01,2023-01-01,57,8436,148,0,12,1776
ROLLING_5Y,MULTI_45_35_20,2023-01-01,2024-01-01,56,8288,148,0,12,1776
ROLLING_5Y,MULTI_45_35_20,2024-01-01,2025-01-01,56,8288,148,0,12,1776
ROLLING_5Y,MULTI_45_35_20,2025-01-01,2026-01-01,57,8436,148,0,12,1776
ROLLING_5Y,MULTI_45_35_20,2026-01-01,2027-01-01,57,8436,148,0,5,740
ROLLING_5Y,BASELINE_21,2017-01-01,2018-01-01,58,8364,148,0,12,1776
ROLLING_5Y,BASELINE_21,2018-01-01,2019-01-01,58,8486,148,0,12,1776
ROLLING_5Y,BASELINE_21,2019-01-01,2020-01-01,58,8557,148,0,12,1776
ROLLING_5Y,BASELINE_21,2020-01-01,2021-01-01,58,8584,148,0,12,1776
ROLLING_5Y,BASELINE_21,2021-01-01,2022-01-01,59,8732,148,0,12,1776
ROLLING_5Y,BASELINE_21,2022-01-01,2023-01-01,59,8732,148,0,12,1776
ROLLING_5Y,BASELINE_21,2023-01-01,2024-01-01,58,8584,148,0,12,1776
ROLLING_5Y,BASELINE_21,2024-01-01,2025-01-01,58,8584,148,0,12,1776
ROLLING_5Y,BASELINE_21,2025-01-01,2026-01-01,58,8584,148,0,12,1776
ROLLING_5Y,BASELINE_21,2026-01-01,2027-01-01,59,8732,148,0,5,740
