scenario,family,variant,daily_observations,signal_dates,available_tickers,inference_dropped_tickers,cagr_mean,cagr_median,cagr_p10,maxdd_mean,maxdd_p10,sharpe_mean,concentrated_100pct_rate,score_keys_identical,max_abs_score_delta,monthly_score_rank_correlation,unrestricted_top1_agreement,basket_top1_agreement,basket_top2_ordered_agreement,basket_top2_set_agreement,concentration_regime_agreement,decision_count,cagr_delta_vs_baseline_pp,maxdd_delta_vs_baseline_pp,sharpe_delta_vs_baseline,fraction_baskets_beating_baseline,elapsed_seconds
CONTROL_ANNUAL_EXPANDING,control,CONSENSUS_MULTI,2366,113,148,0,0.2046355388413887,0.2051752518028466,0.1160862689439615,-0.349159461229863,-0.4457216583218044,0.8341797711300486,0.1051150442477876,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,56500,1.6246207519581055,6.367521601972104,0.085231337566102,0.608,306.64865732192993
CONTROL_ANNUAL_EXPANDING,control,BASELINE_21,2366,113,148,0,0.1883893313218076,0.1823581427514479,0.0618332681272167,-0.412834677249584,-0.6094946000467583,0.7489484335639466,0.0709203539823008,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,56500,0.0,0.0,0.0,0.0,306.64865732192993
CONTROL_ANNUAL_EXPANDING,control,MULTI_45_35_20,2366,113,148,0,0.1976766102738228,0.1945740341363181,0.1065942298813622,-0.3713674044868409,-0.4916379166905693,0.7962036067426637,0.0871681415929203,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,56500,0.92872789520152,4.146727276274315,0.047255173178717,0.562,306.64865732192993
CUTOFF_DECEMBER,cutoff,CONSENSUS_MULTI,2366,113,148,0,0.1637009713800135,0.163600877708354,0.0925437794921087,-0.3827534687498276,-0.4986743378803935,0.7068763313763752,0.1064247787610619,True,0.4871621621621621,0.9708323640751452,0.5929203539823009,0.6757522123893805,0.4030442477876106,0.5203716814159292,0.8981238938053098,56500,-1.9161800661707225,3.3974879505925983,-0.0280671352843133,0.418,338.0030837059021
CUTOFF_DECEMBER,cutoff,MULTI_45_35_20,2366,113,148,0,0.1707493532629994,0.1717877806438142,0.0794761041973706,-0.4017725282631127,-0.537077287086865,0.7109446086177598,0.0881769911504424,True,0.4067567567567567,0.9720448331564974,0.5752212389380531,0.6966548672566372,0.4122654867256637,0.5236991150442478,0.913504424778761,56500,-1.211341877872127,1.495581999264084,-0.0239988580429287,0.464,338.0030837059021
CUTOFF_DECEMBER,cutoff,BASELINE_21,2366,113,148,0,0.1828627720417207,0.1798414408292465,0.0514415467941669,-0.4167283482557535,-0.6207389694735358,0.7349434666606885,0.0677522123893805,True,0.3547297297297296,0.9705124512828636,0.5132743362831859,0.6941238938053097,0.4217522123893805,0.5448849557522124,0.9289380530973452,56500,0.0,0.0,0.0,0.0,338.0030837059021
CUTOFF_FEBRUARY,cutoff,CONSENSUS_MULTI,2366,113,148,0,0.2029592622994489,0.2021113992790939,0.1154753398731641,-0.3483581848076698,-0.454407783104318,0.8276626102802279,0.1063362831858407,True,0.3310810810810811,0.985380413566056,0.7876106194690266,0.8241415929203539,0.6634159292035399,0.7321238938053097,0.941433628318584,56500,1.3573050023553246,5.410224556984067,0.0751669294826303,0.596,318.64393281936646
CUTOFF_FEBRUARY,cutoff,MULTI_45_35_20,2366,113,148,0,0.2014534209592076,0.1976966188082765,0.1045953086073961,-0.3710657420846585,-0.4894237328579515,0.8079827821119425,0.0904247787610619,True,0.3689189189189189,0.9853250586576202,0.7610619469026548,0.8225840707964602,0.6567787610619469,0.7253982300884956,0.952,56500,1.2067208683311987,3.139468829285197,0.0554871013143449,0.582,318.64393281936646
CUTOFF_FEBRUARY,cutoff,BASELINE_21,2366,113,148,0,0.1893862122758957,0.1873000273197522,0.0756492760185506,-0.4024604303775104,-0.575946323698426,0.7524956807975975,0.0715398230088495,True,0.4587837837837837,0.9759196356653188,0.5929203539823009,0.7590442477876106,0.5415929203539823,0.634424778761062,0.9400884955752212,56500,0.0,0.0,0.0,0.0,318.64393281936646
QUARTERLY_REFIT,cutoff,CONSENSUS_MULTI,2366,113,148,0,0.2022521678293115,0.2016492660506345,0.1158290071224295,-0.3485602545887641,-0.4621311346171069,0.8282714893187492,0.1039823008849557,True,0.3783783783783783,0.9760949083476824,0.672566371681416,0.7431327433628319,0.5334690265486726,0.6158230088495575,0.9267964601769912,56500,3.2040666853285638,7.892850469646834,0.1355385252199918,0.67,865.4498028755188
QUARTERLY_REFIT,cutoff,MULTI_45_35_20,2366,113,148,0,0.1718747714479138,0.1747634170619242,0.0617716799798241,-0.4055957429147575,-0.606431698802976,0.7108304584382427,0.0869734513274336,True,0.4256756756756756,0.975126631927724,0.6283185840707964,0.7349911504424779,0.5227964601769911,0.6082300884955752,0.9289734513274336,56500,0.1663270471887995,2.1893016370475027,0.0180974943394853,0.514,865.4498028755188
QUARTERLY_REFIT,cutoff,BASELINE_21,2366,113,148,0,0.1702115009760259,0.1672383976835411,0.0555027079179673,-0.4274887592852325,-0.6269875957679614,0.6927329640987573,0.0744247787610619,True,0.35,0.9714870296071978,0.6548672566371682,0.7508495575221239,0.5454690265486726,0.633362831858407,0.940283185840708,56500,0.0,0.0,0.0,0.0,865.4498028755188
ROLLING_5Y,window,CONSENSUS_MULTI,2366,113,148,0,0.1191946940732226,0.1214637991722095,0.0253941930893176,-0.4340045375056249,-0.5994131382663938,0.545839658761639,0.098070796460177,True,0.6858108108108109,0.8092908615881917,0.2035398230088495,0.3702123893805309,0.1173097345132743,0.1829911504424778,0.8378761061946902,56500,-2.935786383023305,-0.7781495712142705,-0.0863709800646964,0.324,177.39972639083862
ROLLING_5Y,window,MULTI_45_35_20,2366,113,148,0,0.144210225647618,0.1449612951059959,0.0508121331452978,-0.4288652396454452,-0.6287835595180601,0.6222218181405438,0.0788495575221239,True,0.6905405405405405,0.8163657852679305,0.2920353982300885,0.3615221238938053,0.1159646017699115,0.1825486725663717,0.8644601769911504,56500,-0.4342332255837716,-0.2642197851963013,-0.0099888206857916,0.476,177.39972639083862
ROLLING_5Y,window,BASELINE_21,2366,113,148,0,0.1485525579034557,0.1531556982803456,0.0467093296053891,-0.4262230417934822,-0.5897852570530521,0.6322106388263354,0.0607787610619469,True,0.6668918918918918,0.8064407127885593,0.2743362831858407,0.3995044247787611,0.1280530973451327,0.2003008849557522,0.8913097345132743,56500,0.0,0.0,0.0,0.0,177.39972639083862
ROLLING_7Y,window,CONSENSUS_MULTI,2366,113,148,0,0.1611610422947674,0.1630493684108586,0.0538196805351956,-0.4032312721108459,-0.5671158947152265,0.6747821465176467,0.0849557522123893,True,0.6810810810810811,0.8479407941964139,0.247787610619469,0.4185663716814159,0.1431327433628318,0.2128495575221239,0.8527256637168141,56500,-0.8803654957367762,2.240150869141916,-0.0157446572349435,0.42,195.73723888397217
ROLLING_7Y,window,MULTI_45_35_20,2366,113,148,0,0.1733794093008576,0.1742401429481201,0.0656360221130236,-0.4084297505338157,-0.6077701079795287,0.7123480156173784,0.0803539823008849,True,0.6858108108108109,0.8469551167288133,0.2389380530973451,0.402,0.1418938053097345,0.2207787610619469,0.8692920353982301,56500,0.3414712048722401,1.7203030268449326,0.0218212118647881,0.498,195.73723888397217
ROLLING_7Y,window,BASELINE_21,2366,113,148,0,0.1699646972521352,0.1679717101457977,0.0520282581937504,-0.4256327808022651,-0.5995680177894305,0.6905268037525902,0.0724070796460177,True,0.647972972972973,0.8091666829679344,0.2389380530973451,0.4288672566371681,0.1482831858407079,0.2275929203539823,0.8826194690265486,56500,0.0,0.0,0.0,0.0,195.73723888397217
ROLLING_10Y,window,MULTI_45_35_20,2366,113,148,0,0.1339443745581496,0.136690244358525,0.0239066376160744,-0.415890146558567,-0.5896605296602825,0.5934241044130877,0.0860176991150442,True,0.6574324324324324,0.8955498614477774,0.336283185840708,0.4512743362831858,0.1710442477876106,0.254212389380531,0.8718407079646018,56500,-3.0010699602050246,0.8981104487554292,-0.0824937541455935,0.316,223.15904879570007
ROLLING_10Y,window,CONSENSUS_MULTI,2366,113,148,0,0.1707133887270467,0.172095619870833,0.0740163789314021,-0.4193288945564887,-0.5464551641793325,0.7141491777896753,0.109433628318584,True,0.681081081081081,0.8763129458482092,0.3451327433628318,0.4427964601769911,0.164141592920354,0.2333805309734513,0.8410265486725663,56500,0.6758314566846918,0.5542356489632583,0.0382313192309941,0.51,223.15904879570007
ROLLING_10Y,window,BASELINE_21,2366,113,148,0,0.1639550741601998,0.1674262735622337,0.068389301017583,-0.4248712510461213,-0.5778601955835082,0.6759178585586813,0.0734690265486725,True,0.6574324324324323,0.8564272776062151,0.3805309734513274,0.4954513274336283,0.1988672566371681,0.2869911504424778,0.8926725663716815,56500,0.0,0.0,0.0,0.0,223.15904879570007
TRAIN_TICKER_DROPOUT_5PCT,ticker_training,CONSENSUS_MULTI,2366,113,148,0,0.1978899698047285,0.1986976915236632,0.1054128251455906,-0.3741594747004921,-0.4808129058052477,0.8099192155999719,0.1134159292035398,True,0.4256756756756756,0.9705676894777504,0.6017699115044248,0.6960176991150443,0.4117522123893805,0.5276283185840708,0.8967256637168142,56500,2.653335285112632,2.5815448384004567,0.1050148150293607,0.624,266.6282551288605
TRAIN_TICKER_DROPOUT_5PCT,ticker_training,BASELINE_21,2366,113,148,0,0.1713566169536022,0.174786497201396,0.0680046532280598,-0.3999749230844967,-0.5561108630989712,0.7049044005706112,0.0732389380530973,True,0.4587837837837838,0.9554466522236384,0.504424778761062,0.6690796460176991,0.3825309734513274,0.5073982300884956,0.9221061946902654,56500,0.0,0.0,0.0,0.0,266.6282551288605
TRAIN_TICKER_DROPOUT_5PCT,ticker_training,MULTI_45_35_20,2366,113,148,0,0.178804276734406,0.1773299875092147,0.0957410207948809,-0.38625791066894,-0.5047469983854337,0.7371743688007615,0.0954513274336283,True,0.4493243243243242,0.9684812768882654,0.5398230088495575,0.6890088495575222,0.4055575221238938,0.5237522123893805,0.9101946902654868,56500,0.7447659780803861,1.3717012415556729,0.0322699682301502,0.53,266.6282551288605
