variant,scenarios,mean_cagr,worst_cagr,mean_cagr_delta_vs_baseline_pp,worst_cagr_delta_vs_baseline_pp,scenarios_beating_baseline,mean_maxdd,worst_maxdd,mean_sharpe,worst_sharpe,mean_score_correlation,worst_score_correlation,mean_basket_top1_agreement,worst_basket_top1_agreement,mean_fraction_baskets_beating_baseline,scenario_win_rate_vs_baseline
CONSENSUS_MULTI,18,0.1894546588158753,0.1191946940732226,1.3639841014976146,-2.935786383023305,15,-0.3654876949478379,-0.4340045375056249,0.7863174213192707,0.545839658761639,0.962378305995973,0.8092908615881917,0.7400068829891838,0.3702123893805309,0.5797777777777777,0.8333333333333334
MULTI_45_35_20,18,0.18015332333513795,0.1339443745581496,0.4338505534238794,-3.0010699602050246,13,-0.38988071631684806,-0.4288652396454452,0.7416271799313382,0.5934241044130877,0.9636623621360462,0.8163657852679305,0.7384257620452311,0.3615221238938053,0.5303333333333333,0.7222222222222222
