variant,family,scenarios,cagr_gap_mean_pp,cagr_gap_worst_pp,cagr_win_rate,maxdd_gap_mean_pp,sharpe_gap_mean,top1_agreement_mean,baskets_beating_baseline_mean
CONSENSUS_MULTI,control,1,1.6246207519581055,1.6246207519581055,1.0,6.367521601972104,0.085231337566102,1.0,0.608
CONSENSUS_MULTI,cutoff,3,0.8817305405043888,-1.9161800661707225,0.6666666666666666,5.566854325741166,0.060879439806102935,0.7476755162241888,0.5613333333333334
CONSENSUS_MULTI,price_vintage,3,2.884281641567332,2.7257884170461684,1.0,6.716291599145702,0.1256526594791034,0.6898702064896756,0.6493333333333333
CONSENSUS_MULTI,ticker_live,6,1.9057198949002376,0.50611390878888,1.0,5.605591373445861,0.09285779490656121,0.9039911504424779,0.632
CONSENSUS_MULTI,ticker_training,2,1.6675287907288796,0.6817222963451275,1.0,4.621365348918971,0.0781614455938692,0.6759823008849557,0.575
CONSENSUS_MULTI,window,3,-1.0467734740251298,-2.935786383023305,0.3333333333333333,0.6720789822969678,-0.021294772689548602,0.41052507374631264,0.418
MULTI_45_35_20,control,1,0.92872789520152,0.92872789520152,1.0,4.146727276274315,0.047255173178717,1.0,0.562
MULTI_45_35_20,cutoff,3,0.05390201254929042,-1.211341877872127,0.6666666666666666,2.274784155198928,0.016528579203633834,0.751410029498525,0.52
MULTI_45_35_20,price_vintage,3,0.858429913106662,0.3608260272783409,1.0,3.013302403835701,0.0421834877222384,0.6846312684365782,0.5459999999999999
MULTI_45_35_20,ticker_live,6,1.0118599997884388,-0.5987691161141201,0.6666666666666666,2.934129837617412,0.04700097742012432,0.9090088495575221,0.573
MULTI_45_35_20,ticker_training,2,0.5831291358231877,0.4214922935659893,1.0,2.116038564165834,0.027626378743456498,0.6573451327433628,0.529
MULTI_45_35_20,window,3,-1.0312773269721853,-3.0010699602050246,0.3333333333333333,0.7847312301346868,-0.023553787655532333,0.4049321533923304,0.43
