variant,stress_scenarios,stress_wins,cagr_gap_mean_pp,cagr_gap_median_pp,cagr_gap_worst_pp,drawdown_improvement_scenarios,sharpe_improvement_scenarios,top1_agreement_mean,top1_agreement_worst,stress_win_rate,stress_families,family_balanced_cagr_gap_pp,family_balanced_maxdd_gap_pp,family_balanced_sharpe_gap
CONSENSUS_MULTI,17,14,1.3486525338234678,1.599560180559767,-2.935786383023305,16,14,0.7247131702238417,0.3702123893805309,0.8235294117647058,5,1.2584974787351417,4.636436325909734,0.06725131341921763
MULTI_45_35_20,17,12,0.40474012155460637,0.4214922935659893,-3.0010699602050246,15,13,0.7230390421655388,0.3615221238938053,0.7058823529411765,5,0.2952087468590787,2.2245972381905124,0.021957127086784142
