signal_date,entry_date,exit_date,basket,top1,top2,top1_score,top2_score,margin,top1_weight,top2_weight
2026-05-29,2026-06-01,2026-07-01,42,GSG,DBO,0.9865771812080537,0.9664429530201343,0.020134228187919434,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,43,USL,EZA,0.9932885906040269,0.9798657718120806,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,44,BNO,GSG,1.0,0.9865771812080537,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,45,USL,XLE,0.9932885906040269,0.9060402684563759,0.08724832214765099,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,46,GSG,GDX,0.9865771812080537,0.9261744966442953,0.06040268456375841,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,47,BNO,EZA,1.0,0.9798657718120806,0.020134228187919434,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,48,USL,UNG,0.9932885906040269,0.959731543624161,0.033557046979865834,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,49,BNO,COMT,1.0,0.9328859060402684,0.06711409395973156,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,50,USO,GDX,0.9731543624161074,0.9261744966442953,0.046979865771812124,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,51,USL,SOXX,0.9932885906040269,0.87248322147651,0.12080536912751683,1.0,0.0
2026-05-29,2026-06-01,2026-07-01,52,HACK,GDXJ,0.9530201342281879,0.9463087248322147,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,53,EZA,HACK,0.9798657718120806,0.9530201342281879,0.02684563758389269,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,54,DBO,PPLT,0.9664429530201343,0.9395973154362416,0.02684563758389269,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,55,DBO,COMT,0.9664429530201343,0.9328859060402684,0.033557046979865834,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,56,DBO,HACK,0.9664429530201343,0.9530201342281879,0.0134228187919464,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,57,GSG,DBO,0.9865771812080537,0.9664429530201343,0.020134228187919434,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,58,EZA,USO,0.9798657718120806,0.9731543624161074,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,59,DBO,GDX,0.9664429530201343,0.9261744966442953,0.04026845637583898,0.75,0.25
