strategy,path_start,path_end,daily_observations,baskets,cagr_mean,cagr_median,maxdd_mean,sharpe_mean,calmar_mean
Titanium_V1,2017-02-01,2026-07-01,2366,500,0.22319211622534027,0.21879756155750285,-0.3975375599818048,0.8079419812591827,0.6332513274447349
Titanium_V2,2017-02-01,2026-07-01,2366,500,0.21654064374717594,0.21558370673994653,-0.339350999208692,0.868077345280489,0.7172721558498814
