strategy,period,cagr,maxdd,sharpe,calmar
Titanium_V1,D1_2017_2019,0.11874378020741383,-0.2698727553536594,0.5989034084541263,0.43999913978646715
Titanium_V1,D2_2020_2022,0.6744238897074384,-0.24648385913083648,1.5682284815912477,2.7361787180938544
Titanium_V1,DEV_2017_2022,0.3727484564141521,-0.2698727553536594,1.1711616807684755,1.381200765989429
Titanium_V1,HOLD_2023_2026,0.440108762057156,-0.336618049912491,1.2143562966475572,1.3074425514958838
Titanium_V1,FULL_2017_2026,0.39731289083689014,-0.33661804991249067,1.1866469854040644,1.180307743272169
Titanium_V2,D1_2017_2019,0.08910782978797172,-0.2646174730983337,0.5078963139876773,0.33674204784979794
Titanium_V2,D2_2020_2022,0.608852743032207,-0.17809635718906447,1.6071604923878782,3.418670390803434
Titanium_V2,DEV_2017_2022,0.32753055903643014,-0.2646174730983337,1.1566710516901932,1.2377510645894403
Titanium_V2,HOLD_2023_2026,0.4473077886809491,-0.3080115534576988,1.3626206143127209,1.4522435397618314
Titanium_V2,FULL_2017_2026,0.37067591486692897,-0.30801155345769904,1.2363774850994484,1.203448087273895
