strategy,period,baskets,cagr_mean,cagr_std,cagr_min,cagr_p05,cagr_p10,cagr_p25,cagr_median,cagr_p75,cagr_p90,cagr_p95,cagr_max,maxdd_mean,maxdd_std,maxdd_min,maxdd_p05,maxdd_p10,maxdd_p25,maxdd_median,maxdd_p75,maxdd_p90,maxdd_p95,maxdd_max,sharpe_mean,sharpe_std,sharpe_min,sharpe_p05,sharpe_p10,sharpe_p25,sharpe_median,sharpe_p75,sharpe_p90,sharpe_p95,sharpe_max,calmar_mean,calmar_std,calmar_min,calmar_p05,calmar_p10,calmar_p25,calmar_median,calmar_p75,calmar_p90,calmar_p95,calmar_max
Titanium_V1,D1_2017_2019,500,0.1486442466374329,0.09854543909410976,-0.14047378198461347,-0.012260763442518573,0.016178817420633033,0.08116546841728173,0.15084644867915853,0.21774971752734973,0.2736379979652702,0.3077747561173125,0.46413326513802855,-0.24130985822576223,0.05808409303055586,-0.4659934963503095,-0.34861881278941637,-0.3266045461828381,-0.27533440023760847,-0.2334859201323567,-0.19970357004160694,-0.17751771076298672,-0.1585033576426411,-0.11900513888438624,0.7233753805279566,0.39051334583826225,-0.4622633749309043,0.09248323170631866,0.18492873377111416,0.4643801905451772,0.7333864660576717,0.9940358709985565,1.188067134245722,1.3534892632814863,1.9005131794914922,0.7079190471848115,0.5303896666890209,-0.3467933527044916,-0.03317817884911716,0.06263189838798788,0.2946034219162906,0.6515161199636479,1.0354810350099384,1.4566262127412344,1.6053272289248608,2.879380103284915
Titanium_V1,D2_2020_2022,500,0.2353745056133254,0.17040607606544517,-0.19241965992748578,-0.02595070655929762,0.031885038257721786,0.12067193857580627,0.22146588100786802,0.34082643264682105,0.44035037021950857,0.5382413779415666,0.8798166580440594,-0.33536163911946415,0.08491657953621488,-0.7104719635514951,-0.490140972658884,-0.4503353648211601,-0.3843517639220645,-0.319164592414162,-0.26756071793808733,-0.23752670622833924,-0.22762974565132194,-0.1911570148943601,0.7690025024274377,0.4032773364498155,-0.3269529112665349,0.10568317729194027,0.28638766425150297,0.5065651221479797,0.7576402923729596,1.0346006889246728,1.2542342850998796,1.4611513896239878,2.041768641212616,0.8227972129255738,0.6803184099429426,-0.3554540981508072,-0.06200529679347538,0.07067971543056034,0.32615663367407355,0.6800537329827803,1.211563385571296,1.7150709212662938,2.060969774150747,3.8101349522675734
Titanium_V1,DEV_2017_2022,500,0.18849864766222463,0.10313647367380727,-0.1099402190610137,0.024912816574930986,0.06263896050269867,0.11449307125678743,0.19068393653458304,0.2584065755067775,0.3131484357496712,0.35411834059692926,0.5334584798961282,-0.35559906159248894,0.09287282943078849,-0.7104719635514947,-0.5360464775669656,-0.48704853994691366,-0.4069645667205317,-0.33717254883712405,-0.28585255174974566,-0.2525029405115441,-0.24044509360545582,-0.2005023972883465,0.7332172292944513,0.3049252523206715,-0.1845578773310545,0.23732279562969907,0.3526884176569864,0.5130481607553055,0.7500880090914656,0.9324740901002393,1.1123355015799201,1.2265162482623821,1.6498228913037278,0.6112528072625592,0.411206004063261,-0.21472588163907888,0.05354102295146888,0.14136580159947293,0.31180529877232666,0.5525380873715029,0.8436534651649834,1.1589567550465198,1.3682238097722512,2.471714990941368
Titanium_V1,HOLD_2023_2026,500,0.29455608087679047,0.18951080411960067,-0.24654244658491897,0.012066807523474955,0.07371353579926491,0.15995246629923943,0.273040210999526,0.4178141825759693,0.558575191839484,0.6308638612563385,0.8786907623805607,-0.3294676339345932,0.08010426467360963,-0.6559331909817818,-0.46648692898922944,-0.4290921278699565,-0.37541274007024183,-0.3227342135525989,-0.27291746340922973,-0.23890012362110977,-0.21481334437572439,-0.15438721593866755,0.9229896418010476,0.42812590006438694,-0.5249500198290047,0.22153901596031617,0.3877466774588836,0.6357663212401823,0.92988524750015,1.2273569862900566,1.4734467233933461,1.6215001378923497,2.0495389553153838,1.001032156016873,0.7253544408227954,-0.37586517952522175,0.029099652241104428,0.2032572678528465,0.4667800587832706,0.882586844370576,1.3846229573279265,1.9881726895595617,2.300322988064797,4.167897444594387
Titanium_V1,FULL_2017_2026,500,0.22319211622534027,0.10189149007078491,-0.07761926613476022,0.06473762527064099,0.099043624798083,0.15378112403195626,0.21879756155750285,0.2915665948957287,0.34536499166665924,0.40248810469042834,0.5555115772423378,-0.3975375599818048,0.10437694807611629,-0.7498428471116001,-0.587084258446428,-0.5420332792787352,-0.4564534087438942,-0.3840253441198226,-0.32086074521842045,-0.27441507457823894,-0.25810563244442936,-0.22696370534539112,0.8079419812591827,0.2762645817165169,-0.01245922610952801,0.3605172622453229,0.4595981218884961,0.6145041612824924,0.8215294108415467,0.9900291701187494,1.1627990355105917,1.2515004870646826,1.6459467988816354,0.6332513274447349,0.37186529475674784,-0.10946227239703986,0.12108426597402368,0.198188008687105,0.3526643515137643,0.5846404038078394,0.8446194963796646,1.1549685611293745,1.3187104982543494,2.0463757798312208
Titanium_V2,D1_2017_2019,500,0.1502271368729901,0.07699216668321644,-0.07856425536504463,0.029702478358730286,0.05247133801497906,0.09810322475298078,0.1530068821471775,0.20105109012850436,0.24550506214938567,0.27353548878712025,0.4210240761200761,-0.20738259008506105,0.04555700619255456,-0.35705059493585023,-0.29864483045165985,-0.27385306151697986,-0.2330138499354265,-0.20001711636061026,-0.17566860052542627,-0.15427331633753796,-0.1418785768141794,-0.11334488503737439,0.806851852554307,0.3500215677147906,-0.23322027037898369,0.24708628103927163,0.353517584474229,0.5610378463286232,0.8241408821961127,1.0495855233576323,1.251641218862559,1.3482004201555877,1.9224514213068782,0.7990520502260339,0.48988784726810625,-0.270111913310249,0.11528534543702179,0.21603608480919154,0.45378978965408223,0.7674179926151348,1.101718948678617,1.4146927103776885,1.6098716728702158,3.0831300489321585
Titanium_V2,D2_2020_2022,500,0.22644790796045428,0.14114477239609516,-0.17506823010246153,0.008147711264526316,0.045175861640751096,0.1327647120904487,0.22951274098584662,0.3085995971345162,0.4005662024253347,0.47569322684438103,0.6627120516906337,-0.29110550845333966,0.07472955939784735,-0.6360665227698202,-0.42914719288997744,-0.38476072406596634,-0.3372907291642627,-0.27945866805974534,-0.2338079450404745,-0.20841650511889195,-0.19583186478004921,-0.16223987068562473,0.8141517092024496,0.38990791236879013,-0.3758665625714094,0.1830188920645808,0.300797391063091,0.5618237733012277,0.8258607504404161,1.0769201760610467,1.2915256691993795,1.4848267863409397,1.9352571180199236,0.9045274620238155,0.6719718135690268,-0.36771309072590574,0.020332165625351048,0.12245263548777593,0.41985602920373466,0.8008804182622963,1.2511573657232717,1.7985682212965508,2.149967666449849,3.427017817643942
Titanium_V2,DEV_2017_2022,500,0.18617266305842234,0.08644004873894483,-0.09737766605500053,0.04323105613656111,0.08330773324730596,0.13267923964775924,0.19153979804770382,0.24117900926496733,0.29132059863116944,0.32557079743868833,0.4451293931203084,-0.30322220210360445,0.08018025077424203,-0.6360665227698199,-0.4465980824834356,-0.41203648988966424,-0.34946462232784853,-0.2845875824971445,-0.24012251912771654,-0.21605152527970906,-0.20605411491716447,-0.16223987068562518,0.791440101075145,0.29614305105043004,-0.14795046879796625,0.29750645734909836,0.43071432511283597,0.6009814001157197,0.8018327302895285,0.986167547115759,1.1532792899515547,1.254734334227304,1.7139506739303179,0.7010213171603239,0.4199639794142667,-0.17791137462655685,0.10620665657705285,0.2232683617440976,0.39700461568844503,0.64872799685799,0.9411905198915019,1.259025546010417,1.4693370581919236,2.1807217106146797
Titanium_V2,HOLD_2023_2026,500,0.27605422747726616,0.14904952773156727,-0.13530856173888595,0.04917861391639051,0.09913963977063292,0.16841150592030868,0.26306640706224793,0.38048439816849977,0.4846703709305042,0.5323306033331802,0.660211202298032,-0.2771392937964511,0.06608417585626371,-0.5381138408327055,-0.3933124784131696,-0.3647710962036615,-0.3170976018180237,-0.2694122517231415,-0.22979816853332677,-0.20243140212715124,-0.18377242911606728,-0.1411305398647208,0.9875581652826532,0.4049661946194476,-0.2844805683071909,0.31010500043005784,0.4662104321109467,0.7052080590656592,0.9869364166281261,1.2699346376203526,1.5192888966169298,1.6582139880768363,2.058531860247226,1.0949853550384523,0.6867674274732657,-0.28944913766766756,0.14321254475964248,0.3063773790853885,0.5785317684491229,1.0236804516162779,1.472601989223753,1.943736427813678,2.277434188243561,3.8863165403268303
Titanium_V2,FULL_2017_2026,500,0.21654064374717594,0.08511167742054798,-0.02856134955612155,0.07590332159642008,0.11448013663823604,0.15927777009068406,0.21558370673994653,0.2674963789547757,0.3287012438920136,0.35969459449620106,0.4722716537201088,-0.339350999208692,0.09253428515606656,-0.6839854989237075,-0.516853584674219,-0.4626031491216465,-0.3854159826862606,-0.32506194582595027,-0.2683975264904044,-0.23873636354474992,-0.2252908848156041,-0.19962511255191973,0.868077345280489,0.27244472962447974,0.06220803909451381,0.40500223873240804,0.5339690199147813,0.6874388818830944,0.8736274285226924,1.0497711453328713,1.2006287909732054,1.2995388705928932,1.6564678701048672,0.7172721558498814,0.3807074649308116,-0.048612135432254566,0.16952028006456857,0.26548906646359377,0.44568624917818955,0.6829782029491523,0.9469509080166775,1.216491041702727,1.3794367181031715,2.1768770578012693
