strategy,baskets,mean_months,mean_cagr,median_cagr,mean_maxdd,mean_sharpe
authenticated_TIT_R,500,113.0,0.19714990103733926,0.19913436310500088,-0.3622727266467263,0.8061744247764666
fresh_retrained,500,113.0,0.14403544884285646,0.14123509835726833,-0.4413619487068673,0.6134431335853877
