family,feature,exists,missing_rate,std
COMPACT,mom5,True,0.12082368082368082,0.02954606978390913
COMPACT,mom10,True,0.12113256113256113,0.037957218185984506
COMPACT,mom21,True,0.12406692406692407,0.06083289835435673
COMPACT,mom42,True,0.12787644787644786,0.08731879312590708
COMPACT,mom63,True,0.13158301158301158,0.10619878959600068
COMPACT,mom126,True,0.142985842985843,0.15669822801825822
COMPACT,mom252,True,0.16594594594594594,0.23025848153980388
COMPACT,vol21,True,0.12406692406692407,0.1411249994289321
COMPACT,downvol21,True,0.12406692406692407,0.08969972237353738
COMPACT,drawdown21,True,0.12391248391248391,0.03909921100288899
COMPACT,efficiency21,True,0.12406692406692407,0.16651565353671188
COMPACT,vol63,True,0.13158301158301158,0.1357892463767098
COMPACT,downvol63,True,0.13158301158301158,0.08673609474919597
COMPACT,drawdown63,True,0.13155727155727157,0.06584410044454375
COMPACT,efficiency63,True,0.13158301158301158,0.10780404193973762
COMPACT,vol126,True,0.142985842985843,0.1300155222358384
COMPACT,downvol126,True,0.142985842985843,0.08367972683141758
COMPACT,drawdown126,True,0.14293436293436293,0.08906450878557733
COMPACT,efficiency126,True,0.142985842985843,0.08817167320518517
COMPACT,mom126_ex21,True,0.142985842985843,0.14394125332351174
COMPACT,mom252_ex21,True,0.16594594594594594,0.22184093097421845
COMPACT,acc_mom_5_21,True,0.12406692406692407,0.029280249579495137
COMPACT,acc_mom_21_63,True,0.13158301158301158,0.05282416234120879
COMPACT,vol_ratio_21_126,True,0.142985842985843,0.2983757484535374
COMPACT,skew63,True,0.13158301158301158,0.563666409020736
COMPACT,kurt63,True,0.13158301158301158,2.1069398367257723
COMPACT,gkvol21,True,0.12391248391248391,0.11584711844668133
COMPACT,log_adv63,True,0.12777348777348776,2.325895191188436
COMPACT,volume_surprise21,True,0.12280566280566281,1.061958573242004
COMPACT,beta_mkt63,True,0.13158301158301158,0.5314958752906195
COMPACT,corr_mkt63,True,0.13158301158301158,0.3838634428325809
COMPACT,beta_mkt126,True,0.142985842985843,0.5009070317591701
COMPACT,corr_mkt126,True,0.142985842985843,0.3768038735905826
COMPACT,mom5_pct,True,0.12082368082368082,0.28867159927070385
COMPACT,mom10_pct,True,0.12113256113256113,0.2886718626909461
COMPACT,mom21_pct,True,0.12406692406692407,0.2886719579979651
COMPACT,mom42_pct,True,0.12787644787644786,0.28867201999155984
COMPACT,mom63_pct,True,0.13158301158301158,0.2886720400296342
COMPACT,mom126_pct,True,0.142985842985843,0.28867209083922446
COMPACT,mom252_pct,True,0.16594594594594594,0.28867217870711026
COMPACT,vol21_pct,True,0.12406692406692407,0.28867201984527996
COMPACT,downvol21_pct,True,0.12406692406692407,0.2886719977694867
COMPACT,drawdown21_pct,True,0.12391248391248391,0.28605518164175536
COMPACT,efficiency21_pct,True,0.12406692406692407,0.28867193592216717
COMPACT,vol63_pct,True,0.13158301158301158,0.28867204738579566
COMPACT,downvol63_pct,True,0.13158301158301158,0.2886720391822154
COMPACT,drawdown63_pct,True,0.13155727155727157,0.2876409406014323
COMPACT,efficiency63_pct,True,0.13158301158301158,0.2886720318260538
COMPACT,vol126_pct,True,0.142985842985843,0.28867209083922446
COMPACT,downvol126_pct,True,0.142985842985843,0.2886720884641578
COMPACT,drawdown126_pct,True,0.14293436293436293,0.2879679283962728
COMPACT,efficiency126_pct,True,0.142985842985843,0.2886720884641578
COMPACT,mom126_ex21_pct,True,0.142985842985843,0.2886720881649778
COMPACT,mom252_ex21_pct,True,0.16594594594594594,0.28867217870711026
COMPACT,acc_mom_5_21_pct,True,0.12406692406692407,0.28867201868339615
COMPACT,acc_mom_21_63_pct,True,0.13158301158301158,0.28867204738579566
COMPACT,vol_ratio_21_126_pct,True,0.142985842985843,0.28867209083922446
COMPACT,skew63_pct,True,0.13158301158301158,0.28867204738579566
COMPACT,kurt63_pct,True,0.13158301158301158,0.28867204738579566
COMPACT,gkvol21_pct,True,0.12391248391248391,0.28867202014421095
COMPACT,log_adv63_pct,True,0.12777348777348776,0.2886720333890683
COMPACT,volume_surprise21_pct,True,0.12280566280566281,0.28867199166376073
COMPACT,beta_mkt63_pct,True,0.13158301158301158,0.28867204738579566
COMPACT,corr_mkt63_pct,True,0.13158301158301158,0.2886720473857956
COMPACT,beta_mkt126_pct,True,0.142985842985843,0.28867209083922446
COMPACT,corr_mkt126_pct,True,0.142985842985843,0.28867209083922446
COMPACT,mom5_dev,True,0.12082368082368082,1.506350320265591
COMPACT,mom10_dev,True,0.12113256113256113,1.4527143331221073
COMPACT,mom21_dev,True,0.12406692406692407,1.4368642113248011
COMPACT,mom42_dev,True,0.12787644787644786,1.420699299692824
COMPACT,mom63_dev,True,0.13158301158301158,1.433078061136998
COMPACT,mom126_dev,True,0.142985842985843,1.3952744092974374
COMPACT,mom252_dev,True,0.16594594594594594,1.3684254524291748
COMPACT,vol21_dev,True,0.12406692406692407,1.5277795846001134
COMPACT,downvol21_dev,True,0.12406692406692407,1.4748343017022627
COMPACT,drawdown21_dev,True,0.16002574002574002,1.8521883408128879
COMPACT,efficiency21_dev,True,0.12406692406692407,1.1281018703491175
COMPACT,vol63_dev,True,0.13158301158301158,1.5565212688881862
COMPACT,downvol63_dev,True,0.13158301158301158,1.5612121079106462
COMPACT,drawdown63_dev,True,0.13768339768339768,1.9138021902359255
COMPACT,efficiency63_dev,True,0.13158301158301158,1.1960062612197857
COMPACT,vol126_dev,True,0.142985842985843,1.591136536461413
COMPACT,downvol126_dev,True,0.142985842985843,1.606110629127736
COMPACT,drawdown126_dev,True,0.14574002574002573,1.954894171265474
COMPACT,efficiency126_dev,True,0.142985842985843,1.2463750384329022
COMPACT,mom126_ex21_dev,True,0.142985842985843,1.4101640698534978
COMPACT,mom252_ex21_dev,True,0.16594594594594594,1.3825594794785165
COMPACT,acc_mom_5_21_dev,True,0.12406692406692407,1.4211214169008992
COMPACT,acc_mom_21_63_dev,True,0.13158301158301158,1.4460557203426465
COMPACT,vol_ratio_21_126_dev,True,0.142985842985843,1.1861439254283104
COMPACT,skew63_dev,True,0.13158301158301158,1.2515607081088354
COMPACT,kurt63_dev,True,0.13158301158301158,1.5629738924443681
COMPACT,gkvol21_dev,True,0.12391248391248391,1.5701935632545798
COMPACT,log_adv63_dev,True,0.12777348777348776,1.0351833984188012
COMPACT,volume_surprise21_dev,True,0.12280566280566281,1.0485558593356534
COMPACT,beta_mkt63_dev,True,0.13158301158301158,1.3815515383395756
COMPACT,corr_mkt63_dev,True,0.13158301158301158,1.8272442998422185
COMPACT,beta_mkt126_dev,True,0.142985842985843,1.4049988365928938
COMPACT,corr_mkt126_dev,True,0.142985842985843,1.830466812012257
COMPACT,ma_gap50,True,0.12857142857142856,0.050538312339549106
COMPACT,ma_gap200,True,0.1554182754182754,0.10829313681222211
COMPACT,ema_gap20,True,0.12226512226512226,0.025110457760691648
COMPACT,ema_gap50,True,0.12857142857142856,0.042963978220010184
COMPACT,breakout_pos126,True,0.14293436293436293,0.3087252003285323
COMPACT,breakout_pos252,True,0.1641956241956242,0.3023203473317675
COMPACT,rsi14,True,0.12157014157014157,11.455228087873909
COMPACT,positive_frac63,True,0.011583011583011582,0.18006085717016662
COMPACT,max_loss63,True,0.13158301158301158,0.025061150827261427
COMPACT,max_gain63,True,0.13158301158301158,0.025723547423979976
COMPACT,cvar10_63,True,0.13158301158301158,0.015037201041606035
COMPACT,sign_entropy63,True,0.011583011583011582,0.21914930806818644
COMPACT,autocorr1_63,True,0.13173745173745174,0.13543229898342068
COMPACT,ma_gap50_pct,True,0.12857142857142856,0.2886720354557481
COMPACT,ma_gap200_pct,True,0.1554182754182754,0.2886721363748235
COMPACT,ema_gap20_pct,True,0.12226512226512226,0.28867201392036224
COMPACT,ema_gap50_pct,True,0.12857142857142856,0.2886720354557481
COMPACT,breakout_pos126_pct,True,0.14293436293436293,0.2878736511072225
COMPACT,breakout_pos252_pct,True,0.1641956241956242,0.2881500625936804
COMPACT,rsi14_pct,True,0.12157014157014157,0.2886720093443767
COMPACT,positive_frac63_pct,True,0.011583011583011582,0.28514242581065435
COMPACT,max_loss63_pct,True,0.13158301158301158,0.2886720391822154
COMPACT,max_gain63_pct,True,0.13158301158301158,0.28867204738579566
COMPACT,cvar10_63_pct,True,0.13158301158301158,0.28867204035415545
COMPACT,sign_entropy63_pct,True,0.011583011583011582,0.28357622115380887
COMPACT,autocorr1_63_pct,True,0.13173745173745174,0.2886720478245357
TAIL,beta_mkt63_rank,True,0.13158301158301158,0.28867204738579566
TAIL,ma_gap200_rank,True,0.1554182754182754,0.2886721363748235
TAIL,sma_ratio_200_rank,True,0.1554182754182754,0.2886721363748235
TAIL,beta_mkt126_rank,True,0.142985842985843,0.28867209083922446
TAIL,atr_14_rank,True,0.12157014157014157,0.2886720093443767
TAIL,vol_10_rank,True,0.12113256113256113,0.2886720087119271
TAIL,downvol_21_rank,True,0.12406692406692407,0.2886719977694867
TAIL,downvol21_rank,True,0.12406692406692407,0.2886719977694867
