strategy,cagr,maxdd,sharpe,final_equity,router_active_months,direct_condition_months
BASE,0.227544431721453,-0.47765308110297255,0.8040537184551103,6.8839805838692305,28,9
DIRECT,0.23538638180165372,-0.4631606943430773,0.8152517089818677,7.309098423674817,28,9
ROUTER,0.23261345549270263,-0.4776530811029728,0.8126834073518096,7.156168329056934,28,9
