basket,strategy,cagr,maxdd,sharpe,final_equity,router_active_months,direct_condition_months
0,BASE,0.22497956256041962,-0.5423250499448131,0.7558668432977486,6.74981406686777,28,10
0,DIRECT,0.19004049710495607,-0.5815854238023173,0.6674046497466769,5.140856280422164,28,10
0,ROUTER,0.20929783167166538,-0.5815854238023175,0.7176439885192419,5.979123789252269,28,10
1,BASE,0.3644644030822386,-0.2660828011620069,1.3557004871903058,18.620591501342908,28,4
1,DIRECT,0.36984658872935894,-0.2630857496734367,1.358735675618807,19.323329073401176,28,4
1,ROUTER,0.3709124626423299,-0.2630857496734367,1.363035231995932,19.46527617540612,28,4
2,BASE,0.16369352215665178,-0.3259662486215228,0.7140624414227883,4.16428968502888,28,9
2,DIRECT,0.14798420172846027,-0.3906028480917866,0.653764231661668,3.6643463545632198,28,9
2,ROUTER,0.16297889638692276,-0.3327823623606122,0.7088944777504587,4.140287594237356,28,9
3,BASE,0.4921717024297636,-0.2711065391549131,1.5524616351603675,43.21492026712394,28,6
3,DIRECT,0.48723537878915213,-0.27110653915491323,1.5307010995637387,41.88821678641028,28,6
3,ROUTER,0.48453023243077276,-0.27110653915491345,1.5270902821724657,41.17672029856614,28,6
4,BASE,0.09502368025448438,-0.2991350228468531,0.49329920222545415,2.3494974016313455,28,9
4,DIRECT,0.08187217471536012,-0.3376018439458318,0.44111956194233004,2.0969856843963974,28,9
4,ROUTER,0.09273290097714626,-0.30766548134819327,0.4821057386937412,2.3036508632704082,28,9
5,BASE,0.3212220805632384,-0.31574290550007966,1.071588947099671,13.752500436670363,28,4
5,DIRECT,0.31185641383705187,-0.3224996253216227,1.044944950244124,12.862023654278753,28,4
5,ROUTER,0.31125542724135413,-0.3224996253216227,1.045157773881508,12.806683468242678,28,4
6,BASE,0.1491446264202163,-0.4015845096268644,0.640911755405773,3.69935002253282,28,0
6,DIRECT,0.1491446264202163,-0.4015845096268644,0.640911755405773,3.69935002253282,28,0
6,ROUTER,0.1491446264202163,-0.4015845096268644,0.640911755405773,3.69935002253282,28,0
7,BASE,0.34045036025517983,-0.3489568881453512,1.1434713662226026,15.755368038021187,28,6
7,DIRECT,0.32733320932131216,-0.348956888145351,1.1026178217000548,14.36284869949008,28,6
7,ROUTER,0.32970667489829664,-0.3489568881453512,1.11562214884636,14.606349579375111,28,6
8,BASE,0.04883780586999542,-0.5438687887947008,0.312019707764687,1.5662651138838326,28,4
8,DIRECT,0.048236231711404676,-0.5438687887947008,0.30971414817059745,1.557831995474066,28,4
8,ROUTER,0.05107254962286656,-0.5438687887947008,0.3197327430258266,1.5979511630015226,28,4
9,BASE,0.315048173445607,-0.38708541735917124,1.048838702258987,13.159525470166777,28,7
9,DIRECT,0.31459139459468655,-0.4068152690221425,1.0409343201503318,13.116575821636971,28,7
9,ROUTER,0.31274291992568193,-0.38708541735917135,1.0427790770102006,12.944045289492866,28,7
10,BASE,0.23965711830461767,-0.27456914589772885,1.1313260684636266,7.550352283748899,28,3
10,DIRECT,0.2416952618848338,-0.27456914589772874,1.1367434585884486,7.667975765425437,28,3
10,ROUTER,0.2418716015378488,-0.27456914589772874,1.1376344480105367,7.6782290818416,28,3
11,BASE,0.059228346296587686,-0.6368349278429848,0.33884314108188573,1.7185094055878913,28,9
11,DIRECT,0.049290744087773675,-0.6412608226659787,0.30838535860290733,1.572641490849492,28,9
11,ROUTER,0.0514064853806977,-0.6461904191025907,0.31478745929006896,1.6027348561345651,28,9
12,BASE,0.07231550289250155,-0.4430527137237015,0.40150411585819323,1.9290137150862234,28,5
12,DIRECT,0.0672832487493622,-0.45551450306569397,0.3828648844011633,1.845490095729516,28,5
12,ROUTER,0.07212333752945588,-0.4430527137237015,0.4011931480534527,1.9257632170854573,28,5
13,BASE,0.12998901611631908,-0.6581735570049032,0.5249461842884651,3.158115912182138,28,12
13,DIRECT,0.13973538792421802,-0.6495806649694504,0.546590731537513,3.4239353964935657,28,12
13,ROUTER,0.14662312478066264,-0.64958066496945,0.5658518957130375,3.623667534932678,28,12
14,BASE,0.23963133415761306,-0.27558629280997615,0.8831641081849901,7.548874640039672,28,9
14,DIRECT,0.2354204458100686,-0.3080332797092933,0.8583901128339325,7.310995113938953,28,9
14,ROUTER,0.22935693332870977,-0.27558629280997604,0.8503654901517959,6.980223334419888,28,9
15,BASE,0.1335513372820718,-0.5960959970841376,0.5490582804247465,3.2530539013219633,28,12
15,DIRECT,0.1381792841513545,-0.6222191241650041,0.5541049834772278,3.3801975608381527,28,12
15,ROUTER,0.1448989530028233,-0.6222191241650041,0.5759849287929381,3.5727165069560862,28,12
16,BASE,0.2122866514451771,-0.5350625875064503,0.8144235848177726,6.119634982454532,28,9
16,DIRECT,0.2036255626621295,-0.5392516791684857,0.7788616162609298,5.720362471628479,28,9
16,ROUTER,0.2123449005248017,-0.5392516791684857,0.8099545208390437,6.122402474105724,28,9
17,BASE,0.08652451248155302,-0.4984573138830978,0.42608234251838234,2.1833920159514086,28,10
17,DIRECT,0.07996046166054671,-0.5371934457332,0.40372757300151535,2.0623752822341963,28,10
17,ROUTER,0.08391677201242609,-0.5371934457332004,0.41668702030893795,2.134575507984176,28,10
18,BASE,0.17990806235281598,-0.5857706998602649,0.6672184076285197,4.743411209764548,28,10
18,DIRECT,0.18152499436709846,-0.5969961198253317,0.665873933470336,4.804932798804458,28,10
18,ROUTER,0.19135847439839027,-0.5958548861997625,0.6917452094829941,5.194682554079925,28,10
19,BASE,0.21749381156359981,-0.30509051500716156,0.9359152191007073,6.371499439382823,28,5
19,DIRECT,0.21619487029041728,-0.3264539410062276,0.9243117005791786,6.307818992822895,28,5
19,ROUTER,0.2119764875915502,-0.3264539410062268,0.912125162660457,6.104917501063987,28,5
20,BASE,0.16130690360349087,-0.4201229889433763,0.6553312408040162,4.084612845144866,28,8
20,DIRECT,0.16687552025005847,-0.43331857042419175,0.6665913464729587,4.272679907674834,28,8
20,ROUTER,0.16124354731136203,-0.43331857042419175,0.6532425874142308,4.0825164008722545,28,8
21,BASE,0.20580352030743287,-0.5092571730065671,0.7416118521434828,5.81850959879558,28,12
21,DIRECT,0.20553907318527598,-0.5092571730065671,0.721625489186848,5.806512868822773,28,12
21,ROUTER,0.20734189795490843,-0.5092571730065674,0.741619291729085,5.888738918527727,28,12
22,BASE,0.2937160793893778,-0.226319624310221,1.1668932291132292,11.28246508656391,28,5
22,DIRECT,0.2933331576852716,-0.2437748596170357,1.1577341137983628,11.2510799631893,28,5
22,ROUTER,0.29252067619479916,-0.2437748596170357,1.158025623638553,11.18474544008191,28,5
23,BASE,0.14278648334915278,-0.4841058335640718,0.5990753299414505,3.5111642594859913,28,5
23,DIRECT,0.15026352418283295,-0.47214575121557834,0.6169193669838101,3.7333837268674546,28,5
23,ROUTER,0.1515338512171427,-0.46033474548640696,0.6219850084387095,3.7723624646857408,28,5
24,BASE,0.13970493885224666,-0.34692611535663154,0.6157734114490364,3.4230747275965054,28,4
24,DIRECT,0.1350098812434306,-0.34692611535663154,0.5983214196880142,3.2926552331362475,28,4
24,ROUTER,0.1382458498145629,-0.34692611535663154,0.6107125557996245,3.3820582669530985,28,4
25,BASE,0.1416706892863009,-0.44194029809510293,0.5672007828984128,3.479036756364657,28,14
25,DIRECT,0.1534190120837,-0.49891557577097134,0.5935256182447841,3.8308772859003817,28,14
25,ROUTER,0.14683491597070364,-0.4852287358487043,0.5786251600373375,3.629970750877013,28,14
26,BASE,0.2599888852276502,-0.3175348921126605,0.9383559672556367,8.799339872163031,28,10
26,DIRECT,0.2516227498297685,-0.34213083550843215,0.8918727679039191,8.26465030293113,28,10
26,ROUTER,0.25203862833680857,-0.34213083550843215,0.912890199770962,8.290527288764888,28,10
27,BASE,0.20722751496199687,-0.33066086276946316,0.8096104719716363,5.883491209052819,28,2
27,DIRECT,0.20611938562524545,-0.33066086276946316,0.8050642425406088,5.83286796040165,28,2
