weight,cagr,dd,sh,calmar,p10,p5,worstdec,worst,delta_cagr_pp,delta_maxdd_pp,delta_p10_pp,delta_p5_pp,delta_worst_decile_pp,delta_worst_pp,delta_sharpe,delta_calmar,paired_cagr_improve,paired_maxdd_improve,paired_both_improve,mean_turnover,cagr_guard,hits_mean_dd_050,hits_p10_050,hits_joint_gate_pointwise
0.0,20.415985045585792,-26.152056304569587,0.7487987409092741,0.9385628486523993,-35.81382067134846,-39.267954865631964,-40.677920745109205,-53.106275947737245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007137176938369781,True,False,False,False
0.05,19.266474847028277,-25.102541804993244,0.7415071888062903,0.9228660713523363,-34.37276894074418,-37.79656009212294,-39.117151865438316,-51.346741005366795,-1.1495101985575147,1.0495144995763432,1.4410517306042792,1.4713947735090258,1.5607688796708885,1.7595349423704505,-0.007291552102983823,-0.015696777300062914,0.1,1.0,0.1,0.0006780318091451291,False,True,True,False
0.1,18.10656246680789,-24.049465791223717,0.7333028262687408,0.9055083909228598,-32.95372247905594,-36.07698117896874,-37.53628717106814,-49.53668134974638,-2.3094225787779017,2.10259051334587,2.8600981922925186,3.1909736866632272,3.141633574041066,3.5695945979908643,-0.015495914640533348,-0.03305445772953941,0.1,1.0,0.1,0.0006423459244532803,False,True,True,False
0.15,16.936759684368322,-22.992271319404225,0.7240108402012901,0.8860991027995725,-31.643461652577404,-34.607559438889105,-35.93618667570704,-47.6753223778868,-3.4792253612174697,3.1597849851653628,4.170359018771055,4.660395426742859,4.741734069402163,5.430953569850445,-0.02478790070798398,-0.05246374585282676,0.1,1.0,0.1,0.0006066600397614314,False,True,True,False
0.2,15.757578790781427,-21.934419317271995,0.7134108330097845,0.8640713763018055,-30.22889473669329,-33.14621202488031,-34.31281528556687,-45.76190649459897,-4.658406254804365,4.217636987297592,5.584925934655168,6.121742840751651,6.365105459542335,7.3443694531382775,-0.035387907899489646,-0.07449147235059372,0.096,1.0,0.096,0.0005709741550695826,False,True,True,False
0.25,14.569532220078951,-20.87491678899588,0.7012216769362006,0.8395053075975075,-28.745218254969856,-31.39819093623013,-32.67376955615246,-43.79569459955679,-5.846452825506841,5.277139515573708,7.068602416378603,7.8697639294018344,8.004151188956747,9.310581348180456,-0.047577063973073486,-0.09905754105489173,0.096,1.0,0.096,0.0005352882703777336,False,True,True,False
0.3,13.37313218378673,-19.814917268899826,0.6870802518643762,0.8119338134528341,-27.094163192888406,-29.64508287983445,-31.021379525353087,-41.77596760131248,-7.042852861799062,6.337139035669761,8.719657478460054,9.622871985797513,9.656541219756118,11.330308346424765,-0.06171848904489796,-0.12662903519956514,0.09,1.0,0.09,0.0004996023856858846,False,True,True,False
