strategy,cagr,dd,sh,calmar,p10,p5,worstdec,worst,delta_cagr_pp,delta_maxdd_pp,delta_p10_pp,delta_p5_pp,delta_worst_decile_pp,delta_worst_pp,delta_sharpe,delta_calmar,paired_cagr_improve,paired_maxdd_improve,paired_both_improve,mean_diversifier_weight,mean_core_risky_weight,mean_cash_weight,mean_turnover,quality_jump_pass,research_pareto
PERSIST_TRIO10_SYS20,17.644366228040635,-23.66412289411151,0.7307407929063743,0.9001202664346326,-32.523903145291136,-35.4159828924518,-37.106813922183306,-49.42496952595824,-2.771618817545157,2.4879334104580764,3.289917526057323,3.851971973180163,3.5711068229258984,3.6813064217790057,-0.018057948002899837,-0.03844258221776664,0.092,1.0,0.092,0.11610337972167,0.8665086481113322,0.01738797216699801,0.006996918489065606,False,False
PERSIST_BIL10,18.65139498950503,-23.737444273898806,0.7512594877108252,0.9436282825633214,-32.57725102799539,-35.94394425988525,-37.20631399470909,-49.10586205757741,-1.7645900560807632,2.4146120306707815,3.2365696433530715,3.3240106057467145,3.471606750400113,4.000413890159834,0.0024607468015510614,0.005065433910922179,0.174,1.0,0.174,0.10000000000000002,0.882220079522863,0.017779920477137175,0.0006423459244532803,False,False
PERSIST_TRIAD_TREND10,18.586910610055128,-23.950965659777108,0.7477685799160363,0.9298347579344965,-32.968665082964534,-36.00880229610129,-37.45734028908698,-49.302165319526445,-1.8290744355306643,2.2010906447924796,2.845155588383925,3.259152569530677,3.220580456022226,3.8041106282108004,-0.0010301609932378275,-0.008728090717902703,0.168,1.0,0.168,0.10000000000000002,0.882220079522863,0.017779920477137175,0.019794102054340623,False,False
PERSIST_TRIO10,18.10656246680789,-24.049465791223717,0.7333028262687408,0.9055083909228598,-32.95372247905594,-36.07698117896874,-37.53628717106814,-49.53668134974638,-2.3094225787779017,2.10259051334587,2.8600981922925186,3.1909736866632272,3.141633574041066,3.5695945979908643,-0.015495914640533348,-0.03305445772953941,0.1,1.0,0.1,0.10000000000000002,0.882220079522863,0.017779920477137175,0.0006423459244532803,False,False
