scenario,variant,cutoff,next_cutoff,train_dates,train_rows,train_tickers,dropped_train_tickers,test_dates,test_rows
TRAIN_TICKER_DROPOUT_10PCT,CONSENSUS_MULTI,2017-01-01,2018-01-01,139,14755,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,CONSENSUS_MULTI,2018-01-01,2019-01-01,151,16351,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,CONSENSUS_MULTI,2019-01-01,2020-01-01,163,17947,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,CONSENSUS_MULTI,2020-01-01,2021-01-01,176,19676,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,CONSENSUS_MULTI,2021-01-01,2022-01-01,188,21272,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,CONSENSUS_MULTI,2022-01-01,2023-01-01,200,22868,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,CONSENSUS_MULTI,2023-01-01,2024-01-01,211,24331,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,CONSENSUS_MULTI,2024-01-01,2025-01-01,223,25927,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,CONSENSUS_MULTI,2025-01-01,2026-01-01,236,27656,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,CONSENSUS_MULTI,2026-01-01,2027-01-01,248,29252,133,15,5,740
TRAIN_TICKER_DROPOUT_10PCT,BASELINE_21,2017-01-01,2018-01-01,141,15021,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,BASELINE_21,2018-01-01,2019-01-01,153,16617,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,BASELINE_21,2019-01-01,2020-01-01,165,18213,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,BASELINE_21,2020-01-01,2021-01-01,177,19809,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,BASELINE_21,2021-01-01,2022-01-01,190,21538,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,BASELINE_21,2022-01-01,2023-01-01,202,23134,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,BASELINE_21,2023-01-01,2024-01-01,213,24597,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,BASELINE_21,2024-01-01,2025-01-01,225,26193,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,BASELINE_21,2025-01-01,2026-01-01,237,27789,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,BASELINE_21,2026-01-01,2027-01-01,250,29518,133,15,5,740
TRAIN_TICKER_DROPOUT_10PCT,MULTI_45_35_20,2017-01-01,2018-01-01,139,14755,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,MULTI_45_35_20,2018-01-01,2019-01-01,151,16351,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,MULTI_45_35_20,2019-01-01,2020-01-01,163,17947,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,MULTI_45_35_20,2020-01-01,2021-01-01,176,19676,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,MULTI_45_35_20,2021-01-01,2022-01-01,188,21272,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,MULTI_45_35_20,2022-01-01,2023-01-01,200,22868,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,MULTI_45_35_20,2023-01-01,2024-01-01,211,24331,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,MULTI_45_35_20,2024-01-01,2025-01-01,223,25927,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,MULTI_45_35_20,2025-01-01,2026-01-01,236,27656,133,15,12,1776
TRAIN_TICKER_DROPOUT_10PCT,MULTI_45_35_20,2026-01-01,2027-01-01,248,29252,133,15,5,740
