scenario,family,variant,daily_observations,signal_dates,available_tickers,inference_dropped_tickers,cagr_mean,cagr_median,cagr_p10,maxdd_mean,maxdd_p10,sharpe_mean,concentrated_100pct_rate,score_keys_identical,max_abs_score_delta,monthly_score_rank_correlation,unrestricted_top1_agreement,basket_top1_agreement,basket_top2_ordered_agreement,basket_top2_set_agreement,concentration_regime_agreement,decision_count,cagr_delta_vs_baseline_pp,maxdd_delta_vs_baseline_pp,sharpe_delta_vs_baseline,fraction_baskets_beating_baseline,elapsed_seconds
TRAIN_TICKER_DROPOUT_10PCT,ticker_training,CONSENSUS_MULTI,2366,113,148,0,0.1829541846208743,0.18829623819981556,0.09398469303159132,-0.36535301338706844,-0.46791798496665127,0.7580111634804316,0.11054867256637169,True,0.41621621621621613,0.969208254485421,0.49557522123893805,0.6559469026548672,0.361787610619469,0.47745132743362834,0.8851504424778761,56500,0.6817222963451275,6.661185859437485,0.051308076158377736,0.526,295.7423985004425
TRAIN_TICKER_DROPOUT_10PCT,ticker_training,BASELINE_21,2366,113,148,0,0.176136961657423,0.18080424460386801,0.020185753006554615,-0.4319648719814433,-0.6321323171145421,0.7067030873220539,0.07272566371681416,True,0.4162162162162161,0.9592584941082823,0.48672566371681414,0.631858407079646,0.34116814159292036,0.4652566371681416,0.9169911504424779,56500,0.0,0.0,0.0,0.0,295.7423985004425
TRAIN_TICKER_DROPOUT_10PCT,ticker_training,MULTI_45_35_20,2366,113,148,0,0.1803518845930829,0.18403378619538213,0.07507698569560116,-0.40336111311368333,-0.5417062291063669,0.7296858765788168,0.09109734513274337,True,0.402027027027027,0.9630086364681348,0.3893805309734513,0.6256814159292036,0.33424778761061946,0.44780530973451327,0.8992566371681416,56500,0.4214922935659893,2.860375886775995,0.022982789256762892,0.528,295.7423985004425
