variant,year,months,mean_return,median_return
BASELINE_21,2017,12,0.16942041335092606,0.15932683335344977
BASELINE_21,2018,12,-0.03261984865216479,-0.0497950568971659
BASELINE_21,2019,12,0.13834744757432485,0.12305174256041373
BASELINE_21,2020,12,0.1820644797025788,0.19858569166724238
BASELINE_21,2021,12,0.23485064718709986,0.22872996760712583
BASELINE_21,2022,12,0.335718320202825,0.28542195433073736
BASELINE_21,2023,12,0.06629203071590734,0.04097966837869493
BASELINE_21,2024,12,0.12005214503377544,0.1015063553106581
BASELINE_21,2025,12,0.603950687519089,0.5112451426329915
BASELINE_21,2026,5,-0.09876240627507496,-0.12411053938310967
TARGET_42,2017,12,0.19443125857526092,0.18749766689460912
TARGET_42,2018,12,-0.02930413031769744,-0.0385818685444706
TARGET_42,2019,12,0.06263538003914429,0.04630942373150626
TARGET_42,2020,12,0.30562876831937225,0.2870905929776941
TARGET_42,2021,12,0.12901792470024107,0.1392742135191828
TARGET_42,2022,12,0.16835210531963019,0.16119748198290396
TARGET_42,2023,12,0.11069675735794718,0.1005224464274409
TARGET_42,2024,12,0.09702815479882779,0.06196985299818092
TARGET_42,2025,12,0.5966474168078034,0.5382663368181347
TARGET_42,2026,5,-0.09994771990053293,-0.13392610709222774
MULTI_45_35_20,2017,12,0.1944992035661926,0.18413684143968267
MULTI_45_35_20,2018,12,0.00038388401853469166,-0.004618475683937917
MULTI_45_35_20,2019,12,0.08303891183781832,0.07008103677972821
MULTI_45_35_20,2020,12,0.2250434029646667,0.24151266759631995
MULTI_45_35_20,2021,12,0.2920749333275093,0.2983083522772223
MULTI_45_35_20,2022,12,0.24149124933091423,0.2187840941821274
MULTI_45_35_20,2023,12,0.11527409692121711,0.11000745440230009
MULTI_45_35_20,2024,12,0.13062858785194123,0.11908419804389547
MULTI_45_35_20,2025,12,0.5215835053167054,0.4856172926310066
MULTI_45_35_20,2026,5,0.03065241991358903,-0.03330279454788443
CONSENSUS_MULTI,2017,12,0.25320306405963144,0.25837314882515106
CONSENSUS_MULTI,2018,12,-0.0669337295644214,-0.07172511301341972
CONSENSUS_MULTI,2019,12,0.06455203543215232,0.059668094072137134
CONSENSUS_MULTI,2020,12,0.32185426747297935,0.29935089888061595
CONSENSUS_MULTI,2021,12,0.3320543328003706,0.3287916695560742
CONSENSUS_MULTI,2022,12,0.16339576058229235,0.1406265005878533
CONSENSUS_MULTI,2023,12,0.1448124824033243,0.13508859878650192
CONSENSUS_MULTI,2024,12,0.1467997467912857,0.13698463207278055
CONSENSUS_MULTI,2025,12,0.548895122330347,0.5120444536010929
CONSENSUS_MULTI,2026,5,-0.0053143186629884195,-0.056602552008017615
DOWNSIDE_UTILITY,2017,12,0.1708295691444314,0.1718830410668789
DOWNSIDE_UTILITY,2018,12,-0.0075136614609600996,-0.007363408910596447
DOWNSIDE_UTILITY,2019,12,0.07929388564598003,0.07674544910357861
DOWNSIDE_UTILITY,2020,12,0.20166847463330267,0.220750934334342
DOWNSIDE_UTILITY,2021,12,0.21720565531740527,0.21443160900673797
DOWNSIDE_UTILITY,2022,12,0.20110507783295256,0.17761156218213148
DOWNSIDE_UTILITY,2023,12,0.0032420710611562598,0.0002491075950741273
DOWNSIDE_UTILITY,2024,12,0.07811213992978025,0.06510010155509893
DOWNSIDE_UTILITY,2025,12,0.5799286369202347,0.5178416278967627
DOWNSIDE_UTILITY,2026,5,0.01795378046241558,-0.07804279262092428
