variant,baskets,months,mean_basket_cagr,mean_cagr_delta_vs_baseline_pp,median_cagr_delta_vs_baseline_pp,p10_cagr_delta_vs_baseline_pp,p90_cagr_delta_vs_baseline_pp,fraction_baskets_improved
CONSENSUS_MULTI,500,113,0.17573598943187796,3.1700540589021506,3.1971529485419037,-7.5117955515306365,13.969129893410908,0.67
MULTI_45_35_20,500,113,0.16717354494699194,2.3138096104135513,2.6558881561206227,-8.084584038402758,11.639603191391243,0.624
BASELINE_21,500,113,0.14403544884285646,0.0,0.0,0.0,0.0,0.0
DOWNSIDE_UTILITY,500,113,0.1330348703295868,-1.1000578513269659,-0.7239182230290075,-12.9316929216406,9.426549010783237,0.458
TARGET_42,500,113,0.13023056607804412,-1.3804882764812305,-1.199370555205681,-10.638663009640956,7.474585540341626,0.45
