variant,period,baskets,cagr_mean,cagr_median,cagr_p10,cagr_p90,maxdd_mean,sharpe_mean
BASELINE_21,D1_2017_2019,500,0.10416810514707912,0.1005688412561222,0.013937623340277929,0.20800179348655015,-0.28384081229752994,0.5705560217760185
BASELINE_21,D2_2020_2022,500,0.2704433097697006,0.2506599123770692,0.0773298591696037,0.4852257469974292,-0.3172710669046837,0.8868056030050415
BASELINE_21,HOLD_2023_2026,500,0.2110685552475777,0.1948291084224666,-0.02415081237727099,0.4646175835237748,-0.32362768334751124,0.7730296249190608
BASELINE_21,FULL_2017_2026,500,0.18838933132180766,0.1823581427514479,0.061833268127216706,0.31711117795289734,-0.41283467724958406,0.7489484335639466
TARGET_42,D1_2017_2019,500,0.08551196856728185,0.09035859468258245,-0.04535447550558987,0.19834032984591357,-0.2727195668009012,0.5002129440421729
TARGET_42,D2_2020_2022,500,0.1543513253029833,0.1556684917366401,-0.006034759969247079,0.30999692487685737,-0.3748698758781965,0.6027563536591333
TARGET_42,HOLD_2023_2026,500,0.20947930378690996,0.20522799689343918,0.030166242303757383,0.38805789405501634,-0.32497859284821706,0.7873939538852006
TARGET_42,FULL_2017_2026,500,0.14832802667254993,0.14803567596272205,0.04406158251901653,0.2500621268249822,-0.43602260691299755,0.6345049743522265
MULTI_45_35_20,D1_2017_2019,500,0.10450171236622505,0.10376545527979986,0.008502167179457001,0.19338942422396008,-0.24291862779065432,0.5944366871370808
MULTI_45_35_20,D2_2020_2022,500,0.23603634801559775,0.2322627157297411,0.07894884008839445,0.3918171242993569,-0.3347790163443329,0.8223159567937616
MULTI_45_35_20,HOLD_2023_2026,500,0.2559193066931526,0.244368287780103,0.07083224080014804,0.44889775735223114,-0.2901774856760951,0.9313283856528058
MULTI_45_35_20,FULL_2017_2026,500,0.19767661027382286,0.19457403413631813,0.10659422988136227,0.2916452678310073,-0.3713674044868409,0.7962036067426637
CONSENSUS_MULTI,D1_2017_2019,500,0.10428645468186142,0.10201213612545201,0.010619096084575926,0.19845346909633368,-0.26142394352548737,0.598329746495735
CONSENSUS_MULTI,D2_2020_2022,500,0.22503213862895569,0.22398646096842345,0.07150198576739672,0.37416674399717514,-0.3137461323299607,0.8136637228393963
CONSENSUS_MULTI,HOLD_2023_2026,500,0.28618203852133617,0.2827027104387664,0.11773793286253685,0.4558587179228318,-0.28580884876698165,1.036115634352678
CONSENSUS_MULTI,FULL_2017_2026,500,0.20463553884138871,0.20517525180284668,0.11608626894396153,0.2896093401100818,-0.349159461229863,0.8341797711300485
DOWNSIDE_UTILITY,D1_2017_2019,500,0.10410990438491553,0.10564099562173856,0.003638788771281286,0.19572018542322253,-0.2548742709507398,0.6036305187110366
DOWNSIDE_UTILITY,D2_2020_2022,500,0.1873744414015711,0.18076064619667942,0.02479244345883622,0.3716552465600622,-0.3489121245320701,0.6857088126702823
DOWNSIDE_UTILITY,HOLD_2023_2026,500,0.21931327151673158,0.2145945236092588,0.05663870631636728,0.3830243408457948,-0.317500731442494,0.8179691225737215
DOWNSIDE_UTILITY,FULL_2017_2026,500,0.1692427353712515,0.17276656102888677,0.07795718628222126,0.2584274791160819,-0.3964774234018506,0.7031340004806759
