variant,period,baskets,cagr_mean,cagr_median,cagr_p10,cagr_p90,maxdd_mean,sharpe_mean,cagr_delta_vs_baseline_pp,maxdd_delta_vs_baseline_pp,sharpe_delta_vs_baseline,mean_monthly_rank_ic_21,median_monthly_rank_ic_21,mean_monthly_rank_ic_42,median_monthly_rank_ic_42,mean_monthly_rank_ic_63,median_monthly_rank_ic_63,mean_pairwise_monthly_rank_correlation,pairwise_unrestricted_top1_agreement,pairwise_basket_top1_agreement,mean_monthly_turnover,concentrated_100pct_rate
BASELINE_21,FULL_2017_2026,500,0.18838933132180766,0.1823581427514479,0.061833268127216706,0.31711117795289734,-0.41283467724958406,0.7489484335639466,0.0,0.0,0.0,0.06761786693158749,0.05364685326334416,0.08602369207963241,0.11839177898621812,0.10262567138522671,0.11608554178065204,0.924187123360547,0.32448377581120946,0.5463008849557522,0.6605176991150442,0.07092035398230088
TARGET_42,FULL_2017_2026,500,0.14832802667254993,0.14803567596272205,0.04406158251901653,0.2500621268249822,-0.43602260691299755,0.6345049743522265,-4.006130464925772,-2.3187929663413485,-0.11444345921172006,0.07449140978434012,0.10088769772374759,0.09296063430815604,0.15979299392530458,0.11962985614873362,0.15569137141524486,0.9357299963533775,0.4365781710914454,0.5683421828908555,0.6178407079646018,0.07100884955752212
MULTI_45_35_20,FULL_2017_2026,500,0.19767661027382286,0.19457403413631813,0.10659422988136227,0.2916452678310073,-0.3713674044868409,0.7962036067426637,0.9287278952015199,4.146727276274315,0.04725517317871708,0.0844021379924897,0.11795311267986244,0.11108295328132109,0.1765437537249618,0.13908931827617535,0.1983697161070124,0.9300658395796177,0.3952802359882006,0.5588967551622419,0.6576637168141592,0.08716814159292036
CONSENSUS_MULTI,FULL_2017_2026,500,0.20463553884138871,0.20517525180284668,0.11608626894396153,0.2896093401100818,-0.349159461229863,0.8341797711300485,1.6246207519581057,6.367521601972104,0.0852313375661019,0.09345823162243407,0.13415970415011644,0.11848504791225255,0.1883303657033283,0.145179021108642,0.1795015121956637,0.9274562407527686,0.3952802359882006,0.5431622418879056,0.6515486725663717,0.10511504424778761
DOWNSIDE_UTILITY,FULL_2017_2026,500,0.1692427353712515,0.17276656102888677,0.07795718628222126,0.2584274791160819,-0.3964774234018506,0.7031340004806759,-1.914659595055615,1.6357253847733455,-0.04581443308327071,0.05538635399361038,0.03306655511832886,0.07521514725629591,0.10707159700448292,0.10505416887734009,0.09143138481585271,0.8816874092305196,0.3834808259587021,0.5492271386430678,0.6237522123893805,0.10008849557522125
