variant,mean_monthly_rank_ic_21,median_monthly_rank_ic_21,mean_monthly_rank_ic_42,median_monthly_rank_ic_42,mean_monthly_rank_ic_63,median_monthly_rank_ic_63,mean_pairwise_monthly_rank_correlation,pairwise_unrestricted_top1_agreement,pairwise_basket_top1_agreement,mean_monthly_turnover,concentrated_100pct_rate
BASELINE_21,0.06761786693158749,0.05364685326334416,0.08602369207963241,0.11839177898621812,0.10262567138522671,0.11608554178065204,0.924187123360547,0.32448377581120946,0.5463008849557522,0.6605176991150442,0.07092035398230088
TARGET_42,0.07449140978434012,0.10088769772374759,0.09296063430815604,0.15979299392530458,0.11962985614873362,0.15569137141524486,0.9357299963533775,0.4365781710914454,0.5683421828908555,0.6178407079646018,0.07100884955752212
MULTI_45_35_20,0.0844021379924897,0.11795311267986244,0.11108295328132109,0.1765437537249618,0.13908931827617535,0.1983697161070124,0.9300658395796177,0.3952802359882006,0.5588967551622419,0.6576637168141592,0.08716814159292036
CONSENSUS_MULTI,0.09345823162243407,0.13415970415011644,0.11848504791225255,0.1883303657033283,0.145179021108642,0.1795015121956637,0.9274562407527686,0.3952802359882006,0.5431622418879056,0.6515486725663717,0.10511504424778761
DOWNSIDE_UTILITY,0.05538635399361038,0.03306655511832886,0.07521514725629591,0.10707159700448292,0.10505416887734009,0.09143138481585271,0.8816874092305196,0.3834808259587021,0.5492271386430678,0.6237522123893805,0.10008849557522125
