signal_date,cluster_id,target_top2_pred,target_spread_pred,target_excess_max_pred,target_explosive_pred,target_top2_pred_rank,target_spread_pred_rank,target_excess_max_pred_rank,target_explosive_pred_rank,opp_raw,opp_z
2017-01-31,0,0.030470032096007897,0.01181578924638325,0.02139393564683517,0.3038575576176921,0.25,0.375,0.125,0.25,0.225,-1.2258488847591706
2017-01-31,1,0.08092886132779978,0.04934267950034547,0.11239459495545269,0.7888665394053864,0.875,1.0,1.0,1.0,0.9562499999999999,1.430157032219032
2017-01-31,2,0.039653788247187044,0.010368795529593394,0.047953252196781315,0.46670710139034727,0.375,0.125,0.5,0.375,0.38125,-0.6583262529262213
2017-01-31,3,0.028093209889194337,0.010383220376350338,0.02861662255322678,0.2388904485148854,0.125,0.25,0.25,0.125,0.18749999999999997,-1.3620543163990784
2017-01-31,4,0.04223703359472912,0.01678356099355352,0.05475350079786628,0.48403930570497267,0.5,0.625,0.625,0.5,0.5625,0.0
2017-01-31,5,0.10525510458826967,0.03175589221197836,0.0845723407960237,0.754014714061495,1.0,0.875,0.875,0.875,0.9187499999999998,1.2939516005791238
2017-01-31,6,0.04719440183965094,0.014914149150051362,0.03900438731083746,0.5267884695775104,0.625,0.5,0.375,0.625,0.51875,-0.15890633691322564
2017-01-31,7,0.060253961032576034,0.01920907413417683,0.06926755770476059,0.6297247513425421,0.75,0.75,0.75,0.75,0.75,0.6810271581995392
2017-02-28,0,0.028386258632475972,0.012141626936456457,0.01905561521980379,0.21538187408779394,0.25,0.375,0.125,0.25,0.225,-1.2513383894011378
2017-02-28,1,0.11162708438870406,0.04743444872249769,0.14107922729961406,0.8549151858926386,1.0,1.0,1.0,1.0,1.0,1.6221053195940673
2017-02-28,2,0.04482149591887127,0.011312644276601832,0.0385275114490883,0.5010256719529885,0.625,0.125,0.375,0.625,0.46249999999999997,-0.37076693019292983
2017-02-28,3,0.0282013252993753,0.011661730511078728,0.0323170150609748,0.1556991882925496,0.125,0.25,0.25,0.125,0.18749999999999997,-1.3903759882234863
2017-02-28,4,0.040185503569403515,0.015764918761674473,0.04081363038195235,0.4811149429423676,0.375,0.625,0.5,0.5,0.475,-0.3244210639188136
2017-02-28,5,0.05536831565965899,0.0220647288616928,0.06614061378038907,0.6483335311237517,0.875,0.875,0.875,0.875,0.8749999999999999,1.1586466568529048
2017-02-28,6,0.04097340316375192,0.014400417182719172,0.04994497752379773,0.4488505894704668,0.5,0.5,0.75,0.375,0.56875,0.023172933137058024
2017-02-28,7,0.05278915771615134,0.015989824327241903,0.0422171303559766,0.6290520772850985,0.75,0.75,0.625,0.75,0.70625,0.5329774621523365
2017-03-31,0,0.027977449777243594,0.008843949716684993,0.016751721037983378,0.1986493545603815,0.125,0.125,0.125,0.25,0.14375,-1.4780710408122972
2017-03-31,1,0.08168202143908028,0.03762410139286789,0.08770728495042743,0.787181018281473,1.0,1.0,1.0,1.0,1.0,1.544253326221803
2017-03-31,2,0.0375369850912907,0.011099477519235654,0.03193527484109633,0.4382716368554052,0.375,0.25,0.25,0.375,0.3125,-0.8824304721267446
2017-03-31,3,0.028842447595762197,0.012997091468107545,0.03587463869648706,0.18366451926272095,0.25,0.375,0.375,0.125,0.29374999999999996,-0.9486127575362506
2017-03-31,4,0.04263375878426921,0.013166356634522492,0.04312117804495332,0.4814323735572254,0.5,0.5,0.5,0.5,0.5,-0.22060761803168616
2017-03-31,5,0.08002140969121653,0.022666314781853943,0.07914985720471551,0.7724120042763445,0.875,0.875,0.875,0.875,0.8749999999999999,1.1030380901584305
2017-03-31,6,0.048057537265163916,0.015768774122909647,0.04912491629537614,0.5084792021901232,0.625,0.625,0.625,0.625,0.625,0.22060761803168616
2017-03-31,7,0.05611143765973788,0.017226076708920738,0.06754782129757261,0.5654789572157579,0.75,0.75,0.75,0.75,0.75,0.6618228540950585
2017-04-28,0,0.0289580510025357,0.009069954006869923,0.02229522940784153,0.19066325553040375,0.25,0.125,0.125,0.25,0.1875,-1.3404683893539346
2017-04-28,1,0.09534971878583759,0.04138445065082186,0.1153435159027365,0.8131287575976304,1.0,1.0,1.0,1.0,1.0,1.5638797875795905
2017-04-28,2,0.04156946615286371,0.015808297828763453,0.03670289118655802,0.48628502038091276,0.5,0.625,0.5,0.5,0.5187499999999999,-0.1563879787579593
2017-04-28,3,0.027385077685678903,0.010623803662300625,0.030785307973310676,0.16937185876415597,0.125,0.25,0.25,0.125,0.18749999999999997,-1.3404683893539346
2017-04-28,4,0.04025540801788559,0.012219675654714282,0.03388115450098381,0.46232954341142013,0.375,0.5,0.375,0.375,0.39374999999999993,-0.6032107752092708
2017-04-28,5,0.0672682222248198,0.016750507603834248,0.05648652525636943,0.6767178916345752,0.875,0.875,0.875,0.875,0.8749999999999999,1.1170569911282784
2017-04-28,6,0.043860786562093995,0.016563998648307023,0.049541743164729715,0.5276431147479248,0.625,0.75,0.75,0.75,0.70625,0.5138462159190085
2017-04-28,7,0.04793194773181686,0.01161656997062075,0.04313909537171075,0.498928060322856,0.75,0.375,0.625,0.625,0.63125,0.24575253804822128
2017-05-31,0,0.027641949773138563,0.009358886431208985,0.01804437446225929,0.19509576450767238,0.125,0.125,0.125,0.125,0.125,-1.5591205858107593
2017-05-31,1,0.05976797425666778,0.032749085570143284,0.08636494339719711,0.6577376048796567,0.875,1.0,0.875,0.875,0.8937499999999999,1.180477014971003
