scenario,family,variant,daily_observations,signal_dates,available_tickers,inference_dropped_tickers,cagr_mean,cagr_median,cagr_p10,maxdd_mean,maxdd_p10,sharpe_mean,concentrated_100pct_rate,score_keys_identical,max_abs_score_delta,monthly_score_rank_correlation,unrestricted_top1_agreement,basket_top1_agreement,basket_top2_ordered_agreement,basket_top2_set_agreement,concentration_regime_agreement,decision_count,cagr_delta_vs_baseline_pp,maxdd_delta_vs_baseline_pp,sharpe_delta_vs_baseline,fraction_baskets_beating_baseline,elapsed_seconds
LIVE_MISSING_10PCT_R3,ticker_live,BASELINE_21,2366,113,133,15,0.1961992057053133,0.1889517447909671,0.0861529647009659,-0.3759523699583481,-0.4822784474816204,0.7865434905636848,0.0924247787610619,False,0.0,1.0,0.7787610619469026,0.8412743362831858,0.7337522123893805,0.7337522123893805,0.9524424778761061,56500,0.0,0.0,0.0,0.0,95.6569402217865
LIVE_MISSING_10PCT_R3,ticker_live,MULTI_45_35_20,2366,113,133,15,0.1902115145441721,0.1884080796113421,0.096895789084052,-0.3785992343285141,-0.4911655225072611,0.7838550979136084,0.1058761061946902,False,0.0,1.0,0.8672566371681416,0.8962123893805309,0.7971858407079646,0.7971858407079646,0.9622477876106195,56500,-0.5987691161141201,-0.2646864370166091,-0.0026883926500763,0.476,95.6569402217865
LIVE_MISSING_10PCT_R3,ticker_live,CONSENSUS_MULTI,2366,113,133,15,0.2012603447932021,0.2000590003940278,0.1128503137032281,-0.3511792924627803,-0.4490820238805222,0.8357652012494033,0.1213451327433628,False,0.0,1.0,0.8761061946902655,0.9026725663716814,0.8105663716814159,0.8105663716814159,0.9650088495575221,56500,0.50611390878888,2.477307749556773,0.0492217106857185,0.568,95.6569402217865
