scenario,variant,cutoff,next_cutoff,train_dates,train_rows,train_tickers,dropped_train_tickers,test_dates,test_rows
ROLLING_7Y,CONSENSUS_MULTI,2017-01-01,2018-01-01,80,11140,148,0,12,1776
ROLLING_7Y,CONSENSUS_MULTI,2018-01-01,2019-01-01,80,11436,148,0,12,1776
ROLLING_7Y,CONSENSUS_MULTI,2019-01-01,2020-01-01,80,11620,148,0,12,1776
ROLLING_7Y,CONSENSUS_MULTI,2020-01-01,2021-01-01,81,11890,148,0,12,1776
ROLLING_7Y,CONSENSUS_MULTI,2021-01-01,2022-01-01,81,11961,148,0,12,1776
ROLLING_7Y,CONSENSUS_MULTI,2022-01-01,2023-01-01,81,11988,148,0,12,1776
ROLLING_7Y,CONSENSUS_MULTI,2023-01-01,2024-01-01,80,11840,148,0,12,1776
ROLLING_7Y,CONSENSUS_MULTI,2024-01-01,2025-01-01,80,11840,148,0,12,1776
ROLLING_7Y,CONSENSUS_MULTI,2025-01-01,2026-01-01,81,11988,148,0,12,1776
ROLLING_7Y,CONSENSUS_MULTI,2026-01-01,2027-01-01,81,11988,148,0,5,740
ROLLING_7Y,MULTI_45_35_20,2017-01-01,2018-01-01,80,11140,148,0,12,1776
ROLLING_7Y,MULTI_45_35_20,2018-01-01,2019-01-01,80,11436,148,0,12,1776
ROLLING_7Y,MULTI_45_35_20,2019-01-01,2020-01-01,80,11620,148,0,12,1776
ROLLING_7Y,MULTI_45_35_20,2020-01-01,2021-01-01,81,11890,148,0,12,1776
ROLLING_7Y,MULTI_45_35_20,2021-01-01,2022-01-01,81,11961,148,0,12,1776
ROLLING_7Y,MULTI_45_35_20,2022-01-01,2023-01-01,81,11988,148,0,12,1776
ROLLING_7Y,MULTI_45_35_20,2023-01-01,2024-01-01,80,11840,148,0,12,1776
ROLLING_7Y,MULTI_45_35_20,2024-01-01,2025-01-01,80,11840,148,0,12,1776
ROLLING_7Y,MULTI_45_35_20,2025-01-01,2026-01-01,81,11988,148,0,12,1776
ROLLING_7Y,MULTI_45_35_20,2026-01-01,2027-01-01,81,11988,148,0,5,740
ROLLING_7Y,BASELINE_21,2017-01-01,2018-01-01,82,11436,148,0,12,1776
ROLLING_7Y,BASELINE_21,2018-01-01,2019-01-01,82,11732,148,0,12,1776
ROLLING_7Y,BASELINE_21,2019-01-01,2020-01-01,82,11916,148,0,12,1776
ROLLING_7Y,BASELINE_21,2020-01-01,2021-01-01,82,12038,148,0,12,1776
ROLLING_7Y,BASELINE_21,2021-01-01,2022-01-01,83,12257,148,0,12,1776
ROLLING_7Y,BASELINE_21,2022-01-01,2023-01-01,83,12284,148,0,12,1776
ROLLING_7Y,BASELINE_21,2023-01-01,2024-01-01,82,12136,148,0,12,1776
ROLLING_7Y,BASELINE_21,2024-01-01,2025-01-01,82,12136,148,0,12,1776
ROLLING_7Y,BASELINE_21,2025-01-01,2026-01-01,82,12136,148,0,12,1776
ROLLING_7Y,BASELINE_21,2026-01-01,2027-01-01,83,12284,148,0,5,740
